date,monitor_id,latitude,longitude,benzene_ug_m3
2025-06-24,BMT-10,30.06711,-94.05172,0.4
2025-06-24,BMT-11,30.06474,-94.0527,0.4
2025-06-24,BMT-12,30.06382,-94.075473,0.5
2025-06-24,BMT-13,30.06308,-94.05812,0.7
2025-06-24,BMT-14,30.0609,-94.06012,0.6
2025-06-24,BMT-15,30.05644,-94.06226,0.4
2025-06-24,BMT-16,30.0564,-94.06921,0.8
2025-06-24,BMT-17,30.05087,-94.06865,0.5
2025-06-24,BMT-18,30.0468,-94.07106,0.5
2025-06-24,BMT-19,30.04831,-94.07391,0.7
2025-06-24,BMT-20,30.05013,-94.07581,0.8
2025-06-24,BMT-21,30.05423,-94.0797,0.5
2025-06-24,BMT-22,30.05793,-94.07944,0.7
2025-06-24,BMT-23,30.0594,-94.0786,0.6
2025-06-24,BMT-24,30.06203,-94.0795,0.6
2025-06-24,BMT-25,30.06612,-94.07808,0.9
2025-06-24,BMT-26,30.06983,-94.07565,0.9
2025-06-24,BMT-27,30.07475,-94.07576,1.0
2025-07-08,BMT-01,30.07664,-94.07121,1.6
2025-07-08,BMT-02,30.07667,-94.06785,2.4
2025-07-08,BMT-03,30.07583,-94.06433,2.4
2025-07-08,BMT-04,30.07467,-94.06087,7.0
2025-07-08,BMT-05,30.07319,-94.05821,3.6
2025-07-08,BMT-06,30.07097,-94.05761,1.2
2025-07-08,BMT-07,30.06816,-94.058,0.7
2025-07-08,BMT-08,30.06701,-94.05709,0.7
2025-07-08,BMT-09,30.06896,-94.05434,0.6
2025-07-08,BMT-10,30.06711,-94.05172,0.8
2025-07-08,BMT-11,30.06474,-94.0527,0.6
2025-07-08,BMT-12,30.06382,-94.075473,0.6
2025-07-08,BMT-13,30.06308,-94.05812,0.6
2025-07-08,BMT-14,30.0609,-94.06012,0.7
2025-07-08,BMT-15,30.05644,-94.06226,0.5
2025-07-08,BMT-16,30.0564,-94.06921,0.8
2025-07-08,BMT-17,30.05087,-94.06865,0.6
2025-07-08,BMT-18,30.0468,-94.07106,0.6
2025-07-08,BMT-19,30.04831,-94.07391,0.8
2025-07-08,BMT-20,30.05013,-94.07581,0.8
2025-07-08,BMT-21,30.05423,-94.0797,0.6
2025-07-08,BMT-22,30.05793,-94.07944,0.7
2025-07-08,BMT-23,30.0594,-94.0786,0.7
2025-07-08,BMT-24,30.06203,-94.0795,0.6
2025-07-08,BMT-25,30.06612,-94.07808,0.8
2025-07-08,BMT-26,30.06983,-94.07565,1.0
2025-07-08,BMT-27,30.07475,-94.07576,0.7
,BMT-01,30.07664,-94.07121,
,BMT-01,30.07664,-94.07121,
,BMT-02,30.07667,-94.06785,10.0
,BMT-02,30.07667,-94.06785,17.0
,BMT-03,30.07583,-94.06433,
,BMT-03,30.07583,-94.06433,
,BMT-04,30.07467,-94.06087,
,BMT-04,30.07467,-94.06087,
,BMT-05,30.07319,-94.05821,
,BMT-05,30.07319,-94.05821,
,BMT-06,30.07097,-94.05761,
,BMT-06,30.07097,-94.05761,
,BMT-07,30.06816,-94.058,
,BMT-07,30.06816,-94.058,
,BMT-08,30.06701,-94.05709,
,BMT-08,30.06701,-94.05709,
,BMT-09,30.06896,-94.05434,
,BMT-09,30.06896,-94.05434,
,BMT-10,30.06711,-94.05172,
,BMT-10,30.06711,-94.05172,
,BMT-11,30.06474,-94.0527,
,BMT-11,30.06474,-94.0527,
,BMT-12,30.06382,-94.075473,
,BMT-12,30.06382,-94.075473,
,BMT-13,30.06308,-94.05812,
,BMT-13,30.06308,-94.05812,
,BMT-14,30.0609,-94.06012,
,BMT-14,30.0609,-94.06012,
,BMT-15,30.05644,-94.06226,
,BMT-15,30.05644,-94.06226,
,BMT-16,30.0564,-94.06921,
,BMT-16,30.0564,-94.06921,
,BMT-17,30.05087,-94.06865,
,BMT-17,30.05087,-94.06865,
,BMT-18,30.0468,-94.07106,
,BMT-18,30.0468,-94.07106,
,BMT-19,30.04831,-94.07391,
,BMT-19,30.04831,-94.07391,
,BMT-20,30.05013,-94.07581,
,BMT-20,30.05013,-94.07581,
,BMT-21,30.05423,-94.0797,
,BMT-21,30.05423,-94.0797,
,BMT-22,30.05793,-94.07944,
,BMT-22,30.05793,-94.07944,
,BMT-23,30.0594,-94.0786,
,BMT-23,30.0594,-94.0786,
,BMT-24,30.06203,-94.0795,
,BMT-24,30.06203,-94.0795,
,BMT-25,30.06612,-94.07808,
,BMT-25,30.06612,-94.07808,
,BMT-26,30.06983,-94.07565,
,BMT-26,30.06983,-94.07565,
,BMT-27,30.07475,-94.07576,
,BMT-27,30.07475,-94.07576,
